title,price,details,link,image_url,image_file,year,mileage,location
208 1.5 ACTIVE PACK 8V MANUAL,"R$ 37.890,00",,https://www.carflix.com.br/comprar/84896/peugeot/208/s%c3%a3o%20paulo,https://carflix.gumlet.io/vendas/73ce6768-f7cc-4ca7-818d-704f2efaa00a/638881851499740585-638881851499740585-blob.jpg?height=215&mode=crop&compress=true&width=285,038_208_15_ACTIVE_PACK_8V_MANUAL.jpg,,,
TORO 2.0 16V TURBO DIESEL AUTOMÁTICO,,,https://www.carflix.com.br/comprar/70982/fiat/toro/s%c3%a3o%20paulo,https://carflix.gumlet.io/vendas/6a282428-36a3-4bf0-adf1-cddd1bbe6f54/638679532220609975-638679532220141217-blob.jpg?height=215&mode=crop&compress=true&width=285,039_TORO_20_16V_TURBO_DIESEL_AUTOMÁTICO.jpg,,,
CAMARO 6.2 SS COUPÉ V8 AUTOMÁTICO,,,https://www.carflix.com.br/comprar/80851/chevrolet/camaro/s%c3%a3o%20paulo,https://carflix.gumlet.io/vendas/28da4be2-c6e7-41e6-9d2a-73029be65830/638797228309076734-638797228309076734-blob.jpg?height=215&mode=crop&compress=true&width=285,040_CAMARO_62_SS_COUPÉ_V8_AUTOMÁTICO.jpg,,,
T4 3.2 TGV 4X4 16V MANUAL,"R$ 99.990,00",,https://www.carflix.com.br/comprar/77244/troller/t4/s%c3%a3o%20paulo,https://carflix.gumlet.io/vendas/9e99597b-7a4a-4af9-92af-422a7391cd85/638759999019333779-638759999019333779-blob.jpg?height=215&mode=crop&compress=true&width=285,041_T4_32_TGV_4X4_16V_MANUAL.jpg,,,
COMPASS 1.3 T270 TURBO FLEX AUTOMÁTICO,,,https://www.carflix.com.br/comprar/77796/jeep/compass/s%c3%a3o%20paulo,https://carflix.gumlet.io/vendas/1aac5ac3-4f8c-4b49-8daa-0bf13fbf296b/638763373077035168-1740750229298.jpg?height=215&mode=crop&compress=true&width=285,042_COMPASS_13_T270_TURBO_FLEX_AUTOMÁTICO.jpg,,,
VERSA 1.6 16V FLEX EXCLUSIVE AUTOMÁTICO,,,https://www.carflix.com.br/comprar/80241/nissan/versa/s%c3%a3o%20paulo,https://carflix.gumlet.io/vendas/d68a0208-615b-4ba2-b537-7c09f1e169ea/638794531831168444-638794531831168444-blob.jpg?height=215&mode=crop&compress=true&width=285,043_VERSA_16_16V_FLEX_EXCLUSIVE_AUTOMÁTICO.jpg,,,
CAYMAN 3.4 S I6 24V AUTOMÁTICO,"R$ 293.000,00",,https://www.carflix.com.br/comprar/80253/porsche/cayman/s%c3%a3o%20paulo,https://carflix.gumlet.io/vendas/1653d6a7-6821-4efa-99cb-8626465d13c9/638788387710739689-638788387710427191-blob.jpg?height=215&mode=crop&compress=true&width=285,044_CAYMAN_34_S_I6_24V_AUTOMÁTICO.jpg,,,
FREEMONT 2.4 PRECISION 16V GASOLINA AUTOMÁTICO,"R$ 60.890,00",,https://www.carflix.com.br/comprar/80131/fiat/freemont/s%c3%a3o%20paulo,https://carflix.gumlet.io/vendas/cb61e8f4-e801-40ac-b9af-069ae5137d91/638788443809748894-638788443809748894-blob.jpg?height=215&mode=crop&compress=true&width=285,045_FREEMONT_24_PRECISION_16V_GASOLINA_AUTOMÁTICO.jpg,,,
TORO 2.0 16V TURBO DIESEL AUTOMÁTICO,"R$ 116.890,00",,https://www.carflix.com.br/comprar/82622/fiat/toro/s%c3%a3o%20paulo,https://carflix.gumlet.io/vendas/c411cf46-2ddb-4f43-96a7-6eee12035635/638823815896821482-638823815896196486-blob.jpg?height=215&mode=crop&compress=true&width=285,046_TORO_20_16V_TURBO_DIESEL_AUTOMÁTICO.jpg,,,
CAPTIVA 2.4 SIDI 16V GASOLINA AUTOMÁTICO,"R$ 45.890,00",,https://www.carflix.com.br/comprar/78294/chevrolet/captiva/s%c3%a3o%20paulo,https://carflix.gumlet.io/vendas/afdac96d-ee22-4920-8653-ec1ed6ea4855/638769677583857149-638769677583857149-blob.jpg?height=215&mode=crop&compress=true&width=285,047_CAPTIVA_24_SIDI_16V_GASOLINA_AUTOMÁTICO.jpg,,,
CRONOS 1.8 E.TORQ FLEX DRIVE AUTOMÁTICO,"R$ 64.990,00",,https://www.carflix.com.br/comprar/85871/fiat/cronos/s%c3%a3o%20paulo,https://carflix.gumlet.io/vendas/fb707f29-4b95-4697-b355-40ff165c55cb/638887977130409899-638887977130409899-blob.jpg?height=215&mode=crop&compress=true&width=285,048_CRONOS_18_ETORQ_FLEX_DRIVE_AUTOMÁTICO.jpg,,,
A4 1.8 TFSI ATTRACTION GASOLINA AUTOMÁTICO,,,https://www.carflix.com.br/comprar/82867/audi/a4/s%c3%a3o%20paulo,https://carflix.gumlet.io/vendas/5d30441f-f004-431d-a027-6fbb41dd3b33/638858588953026489-638858588952713972-blob.jpg?height=215&mode=crop&compress=true&width=285,049_A4_18_TFSI_ATTRACTION_GASOLINA_AUTOMÁTICO.jpg,,,
V40 2.0 T5 R DESIGN AUTOMÁTICO,,,https://www.carflix.com.br/comprar/79553/volvo/v40/s%c3%a3o%20paulo,https://carflix.gumlet.io/vendas/cea9035a-b315-49e3-bc9e-9503567fd704/638778065012016982-638778065011704466-blob.jpg?height=215&mode=crop&compress=true&width=285,050_V40_20_T5_R_DESIGN_AUTOMÁTICO.jpg,,,
FOX 1.0 MI 8V FLEX MANUAL,"R$ 41.890,00",,https://www.carflix.com.br/comprar/85189/volkswagen/fox/s%c3%a3o%20paulo,https://carflix.gumlet.io/vendas/96e7bbfd-8ec7-4d85-aeb5-fdd3dfd7e02d/638873038130959306-638873038130803083-blob.jpg?height=215&mode=crop&compress=true&width=285,051_FOX_10_MI_8V_FLEX_MANUAL.jpg,,,
VITARA 1.6 16V GASOLINA 4ALL AUTOMÁTICO,"R$ 75.890,00",,https://www.carflix.com.br/comprar/84418/suzuki/vitara/s%c3%a3o%20paulo,https://carflix.gumlet.io/vendas/badb01cd-c808-40a6-921b-50073d71b1b4/638861197268164535-638861197268164535-blob.jpg?height=215&mode=crop&compress=true&width=285,052_VITARA_16_16V_GASOLINA_4ALL_AUTOMÁTICO.jpg,,,
SPIN 1.8 ACTIV 8V FLEX AUTOMÁTICO,"R$ 82.900,00",,https://www.carflix.com.br/comprar/82838/chevrolet/spin/s%c3%a3o%20paulo,https://carflix.gumlet.io/vendas/81b60830-cead-4646-8b3b-4f2c400f6d30/638827502359760085-638827502359760085-blob.jpg?height=215&mode=crop&compress=true&width=285,053_SPIN_18_ACTIV_8V_FLEX_AUTOMÁTICO.jpg,,,
TRACKER 1.0 TURBO FLEX AUTOMÁTICO AUTOMÁTICO,"R$ 87.890,00",,https://www.carflix.com.br/comprar/79541/chevrolet/tracker/s%c3%a3o%20paulo,https://carflix.gumlet.io/vendas/095ea2c9-a89e-401a-84ee-7342345bfee4/638779014246056609-638779014246056609-blob.jpg?height=215&mode=crop&compress=true&width=285,054_TRACKER_10_TURBO_FLEX_AUTOMÁTICO_AUTOMÁTICO.jpg,,,
TIGUAN 2.0 350 TSI GASOLINA AUTOMÁTICO,,,https://www.carflix.com.br/comprar/84097/volkswagen/tiguan/s%c3%a3o%20paulo,https://carflix.gumlet.io/vendas/13b5ab60-3726-4380-a34f-099146a2b1fc/638851564295687564-638851564295687564-blob.jpg?height=215&mode=crop&compress=true&width=285,055_TIGUAN_20_350_TSI_GASOLINA_AUTOMÁTICO.jpg,,,
EJS1 ELÉTRICO AUTOMÁTICO AUTOMÁTICO,,,https://www.carflix.com.br/comprar/76039/jac/e-js1/s%c3%a3o%20paulo,https://carflix.gumlet.io/vendas/1b6f9941-ee5d-4c82-9701-fe9ffd277d97/638746100539084016-638746100538771031-blob.jpg?height=215&mode=crop&compress=true&width=285,056_EJS1_ELÉTRICO_AUTOMÁTICO_AUTOMÁTICO.jpg,,,
X1 2.0 16V TURBO ACTIVEFLEX AUTOMÁTICO,"R$ 105.890,00",,https://www.carflix.com.br/comprar/69977/bmw/x1/s%c3%a3o%20paulo,https://carflix.gumlet.io/vendas/3d060067-c9ad-4fb2-a2fa-70376175a988/638663153814667765-638663153814355251-blob.jpg?height=215&mode=crop&compress=true&width=285,057_X1_20_16V_TURBO_ACTIVEFLEX_AUTOMÁTICO.jpg,,,
GLA 200 1.6 CGI ADVANCE AUTOMÁTICO,"R$ 110.890,00",,https://www.carflix.com.br/comprar/79845/mercedes-benz/gla-200/s%c3%a3o%20paulo,https://carflix.gumlet.io/vendas/ab29bcf0-7cf4-41f3-bb81-37720256b4d0/638784121097788976-638784121097788976-blob.jpg?height=215&mode=crop&compress=true&width=285,058_GLA_200_16_CGI_ADVANCE_AUTOMÁTICO.jpg,,,
GOLF 1.4 TSI VARIANT HIGHLINE AUTOMÁTICO,,,https://www.carflix.com.br/comprar/81826/volkswagen/golf/s%c3%a3o%20paulo,https://carflix.gumlet.io/vendas/6e0f6c87-c2c0-4356-8b1e-74f07e1ae9c0/638836065476851782-638836065476695540-blob.jpg?height=215&mode=crop&compress=true&width=285,059_GOLF_14_TSI_VARIANT_HIGHLINE_AUTOMÁTICO.jpg,,,
RENEGADE 1.3 T270 TURBO FLEX AUTOMÁTICO,"R$ 98.900,00",,https://www.carflix.com.br/comprar/88203/jeep/renegade/s%c3%a3o%20paulo,https://carflix.gumlet.io/vendas/b7a4182a-1233-4f6e-87a1-f9d33a62a502/638931075940407097-638931075940407097-blob.jpg?height=215&mode=crop&compress=true&width=285,060_RENEGADE_13_T270_TURBO_FLEX_AUTOMÁTICO.jpg,,,
MOBI 1.0 FIREFLY FLEX DRIVE AUTOMÁTICO,"R$ 45.890,00",,https://www.carflix.com.br/comprar/86367/fiat/mobi/s%c3%a3o%20paulo,https://carflix.gumlet.io/vendas/5d369826-b5cf-4907-8c35-887537135480/638895696515579824-638895696515579824-blob.jpg?height=215&mode=crop&compress=true&width=285,061_MOBI_10_FIREFLY_FLEX_DRIVE_AUTOMÁTICO.jpg,,,
SANDERO 1.0 12V SCE FLEX MANUAL,"R$ 51.890,00",,https://www.carflix.com.br/comprar/85737/renault/sandero/s%c3%a3o%20paulo,https://carflix.gumlet.io/vendas/0fd9962d-036c-4359-b2f0-ab8e8cb882b2/638884340742226602-638884340742226602-blob.jpg?height=215&mode=crop&compress=true&width=285,062_SANDERO_10_12V_SCE_FLEX_MANUAL.jpg,,,
TORO 2.0 16V TURBO DIESEL AUTOMÁTICO,"R$ 110.890,00",,https://www.carflix.com.br/comprar/77826/fiat/toro/s%c3%a3o%20paulo,https://carflix.gumlet.io/vendas/2878648c-795d-41ca-a52e-b7cb34a96105/638763619126869034-638763619126869034-blob.jpg?height=215&mode=crop&compress=true&width=285,063_TORO_20_16V_TURBO_DIESEL_AUTOMÁTICO.jpg,,,
HILUX SW4 3.0 SRV 4X4 AUTOMÁTICO,,,https://www.carflix.com.br/comprar/82370/toyota/hilux-sw4/s%c3%a3o%20paulo,https://carflix.gumlet.io/vendas/24817518-3531-4a0c-8d37-e652957690fd/638822150031613898-638822150031613898-blob.jpg?height=215&mode=crop&compress=true&width=285,064_HILUX_SW4_30_SRV_4X4_AUTOMÁTICO.jpg,,,
COOPER 2.0 S TOP 16V AUTOMÁTICO,,,https://www.carflix.com.br/comprar/87428/mini/cooper/s%c3%a3o%20paulo,https://carflix.gumlet.io/vendas/a5b2cafe-6a76-48e8-80e2-693d1703ca1a/638915535828922431-1755966919590.jpg?height=215&mode=crop&compress=true&width=285,065_COOPER_20_S_TOP_16V_AUTOMÁTICO.jpg,,,
CITY 1.5 IVTEC FLEX HATCH AUTOMÁTICO,,,https://www.carflix.com.br/comprar/87152/honda/city/s%c3%a3o%20paulo,https://carflix.gumlet.io/vendas/37c689df-1eb7-4eaf-b177-59a4794a0618/638909492335548230-638909492335548230-blob.jpg?height=215&mode=crop&compress=true&width=285,066_CITY_15_IVTEC_FLEX_HATCH_AUTOMÁTICO.jpg,,,
